"","x"
"Daniel Webster",0.0201628611760587
"Isaac Van Zandt",0.291844004205701
"A Friend of Treat in Mexico",0
"a Friend of Treat in New Orleans Vitalba",0
"A. de Saligny",0.453775366444334
"Abner S. Lipscomb",0.169366922909417
"Anson Jones",0.948056615171643
"Ashbel Smith",1
"Ebenezer Allen",0.432580946195874
"James S. Mayfield",0.26701466599521
"Sam Houston",0.21740776915965
"Secretary of State Mayfield",0.0619018839194179
"A. Gloux",0
"Alleye de Cyprey",0
"A. Hutchinson",0
"A. J. Donelson",0.331990665544056
"Secretary of State Allen",0.168036064030551
"A. J. Yates",0
"Stephen F. Austin",0
"A. M. Green",0.154511882447936
"Joseph Eve",0.266550574692509
"A. P. Upshur",0.0201628611760587
"A. S. Wright",0
"Barnard E. Bee",0.147644070059527
"John Merle",0.0112669595954274
"Mirabeau B. Lamar",0.219895308122857
"Nathaniel Amory",0.12850824930867
"William Bryan",0.0112669595954274
"Wm. Bryan",0.0449911479218604
"A. Somervell",0
"M. C. Hamilton",0
"A. T. Biimley",0
"David G. Burnet",0.153712870547837
"A. T. Burnley",0
"Abel Smith",0
"Lord Aberdeen",0.179223673302161
"Abb6 Anduz6",0.0179888857946876
"Alc6e La Branche",0.0577429961271303
"Geo. H. Flood",0.0730593862956008
"Hamilton and Burnley",0.0186903109278283
"James Hamilton",0.341277252863814
"James Hamilton and A. T. Bumley",0.0186903109278283
"James Treat",0.0792534688553655
"R. Pakenham",0.153539372905874
"Address of Tilghman A. Howard",0
"Aflbbel Smith",0
"Al. Bourgeois",0.273983273843177
"Charles Elliot",0.357790860788978
"Charles H. Raymond",0.331990665544056
"G. W. Terrell",0.255880284718991
"George S. Mcintosh",0.131430851630559
"Isaac Van 2iandt",0.131430851630559
"J. Pinckney Henderson",0.268791192905436
"James K. Polk",0.131430851630559
"James Reily",0.268505793287834
"Van Zandt and Henderson",0.211445631734388
"Victor Pirson",0.131430851630559
"Viscount J. de Cramayel",0.211445631734388
"W. S. Murphy",0.131430851630559
"William Kennedy",0.192119414286312
"Wm. Henry Daingerfield",0.353473326382996
"Zachary Taylor",0.134226066571598
"Anson Joness reply",0
"Howard *s address 294",0
"Anto. Lopez de Santa Anna",0.0191485610736604
"Antonio Canales",0
"Arthur Ikin",0.137074941657275
"Baron de Cetto",0.137074941657275
"Edward Everett",0.137074941657275
"General Sancho",0.137074941657275
"Geo. S. Mcintosh",0.263246493299611
"H. U. Addington",0.137074941657275
"Henry Castro",0.19737801582526
"Joseph Hume",0.137074941657275
"Lachlin M. Rate",0.204727389406073
"M. Guizot",0.238619509992358
"M. P. Russell",0.137074941657275
"Martinez de La Rosa",0.137074941657275
"Samuel Amory",0.137074941657275
"Stewart Newell",0.137074941657275
"Texan Consuls",0.137074941657275
"Theodore Barbey",0.137074941657275
"Washington Irving",0.137074941657275
"Wm. Pringle",0.137074941657275
"Balie Peyton",0
"M. S. CucuUu",0
"BaniaxdE. Bee",0
"James Webb",0.1278898820616
"Secretary of State Lipscomb",0.0374394475442293
"Brenham and Cooke",0
"Secretary of State Roberts",0.0987482587346142
"Certificate of Exchange of Ratification of Convention as",0
"Debt be-",0
"Charles de Castell",0
"Secretary of State Jones",0.20446421319226
"John C. Calhoun",0.0534232199504058
"the Secretary of State of Texas Allen",0.0512871432156661
"the Secretary of State of Texas Jones",0.0800321370326975
"Chas. H. Raymond",0
"Correspondent at Vera Cruz",0
"Correspondent in Tampico",0
"T. Toby",0
"Count Mol6",0.0168835349967232
"D. Parker",0
"D. Rowlett",0
"David G. Bumet",0.0256429431719582
"DaAdd G. Burnet",0
"Richard G. Dunlap",0.0380571190541001
"David S. Kaufman",0.0580073917008793
"James Buchanan",0.024057447960009
"Declaration of Wyse as",0
"goods shipped on Santa Maria",0
"Duff Green",0
"E. A. Rhodes",0.0592153770953293
"E. W. Moore",0.0304900912071105
"Joaquin Rivas Sayas",0.00579919525920205
"Muabeau B. Lamar",0.00579919525920207
"PedrffLemus",0.00579919525920207
"William D. Lee",0.0586293852886993
"Eddy and Moss",0
"the collector of the customs at New Orleans",0
"Fran. Pizarro Martinez",0
"G . W. TerreU",0
"G. Loomis",0
"W. W. S. Bliss",0
"G. W. Hill",0
"Adrian Woll",0
"Lord Clarendon",0.0385656874254371
"Gabriel Shaw",0
"Geo. Fisher",0
"Geo. L. Hammeken",0
"Geo. W. Hockley",0
"H. S. Fox",0.0603030741679853
"James H. Starr",0.00448583347012838
"Henry J. Jewett",0.0393351979691678
"Holford &amp; Co. to Ashbel Smith",0
" undated 1159",0
"Ird Palmerston",0
"Ignacio de Mora",0.0179888857946876
"Information given by Henry J. Jewett",0
"Instructions",0
"Peraza",0
"William S. Archer",0.0201628611760587
"J. C. Spencer",0
"J. H. Brower",0
"J. M. Porter",0
"H. S. Legar",0
"Lizardi &lt;k Co.",0.0168835349967232
"Lord Palmerston",0.0771866091647085
"R. A. Irion",0.0168835349967232
"Secretary of State",0.0168835349967232
"Secretary of State Bee",0.0168835349967232
"Secretary of State Burnet",0.0168835349967232
"Secretary of State Irion",0.0168835349967232
"J. R. Poinsett",0
"J. Y. Mason",0
"Jacob Barker",0
"Jacob Snively",0
"Geo. W. HUl",0
"Jamee HamUton",0
"Wm. Sevey",0
"Lords of the Treasury",0.0603030741679854
"Monroe Edwards",0.0603030741679854
"R. Copeland",0.0603030741679854
"Samuel A. Roberts",0.0628146586643541
"Senior Officer of British Navy",0.0603030741679854
"Thos. Gales Forster",0.0393351979691678
"James Ritchie",0.0251302888020913
"Juan de Dios CaAedo",0.0251302888020913
"Juan de Dios Cafiedo",0.0251302888020913
"Juan Nepomuceno Almonte",0.0251302888020913
"Mirabeau B. Imar",0.0251302888020913
