"","x"
"Daniel Webster",0.0425646924151517
"Isaac Van Zandt",0.147093706058044
"A Friend of Treat in Mexico",7.66045610870209e-18
"a Friend of Treat in New Orleans Vitalba",7.66045610870209e-18
"A. de Saligny",0.451591539423665
"Abner S. Lipscomb",0.136351040546559
"Anson Jones",0.958824786219298
"Ashbel Smith",1
"Ebenezer Allen",0.4147199026195
"James S. Mayfield",0.286961259976434
"Sam Houston",0.583730178079428
"Secretary of State Mayfield",7.66045610870209e-18
"A. Gloux",7.66045610870209e-18
"Alleye de Cyprey",0.0661819623495234
"A. Hutchinson",0.0389433977215098
"A. J. Donelson",0.225870038673349
"Secretary of State Allen",1.53209122174042e-17
"A. J. Yates",1.53209122174042e-17
"Stephen F. Austin",3.06418244348084e-17
"A. M. Green",0.177147313964895
"Joseph Eve",0.144093015067804
"A. P. Upshur",0.0425646924151517
"A. S. Wright",0.0821956183909812
"Barnard E. Bee",0.089798752370906
"John Merle",7.66045610870209e-18
"Mirabeau B. Lamar",0.0171188933554253
"Nathaniel Amory",0.118420482726199
"William Bryan",7.66045610870209e-18
"Wm. Bryan",5.36231927609147e-17
"A. Somervell",7.66045610870209e-18
"M. C. Hamilton",1.53209122174042e-17
"A. T. Biimley",0.0224186241993417
"David G. Burnet",0.139694103401752
"A. T. Burnley",0.0320711613701249
"Abel Smith",0.0261393087323571
"Lord Aberdeen",0.209702761638971
"Abb6 Anduz6",0.0320711613701249
"Alc6e La Branche",3.06418244348084e-17
"Geo. H. Flood",0.0389433977215098
"Hamilton and Burnley",0.0327254085677032
"James Hamilton",0.439927775557691
"James Hamilton and A. T. Bumley",7.66045610870209e-18
"James Treat",0.183332478557051
"R. Pakenham",0.141347747094796
"Address of Tilghman A. Howard",0.138271602758329
"Aflbbel Smith",0.138271602758329
"Al. Bourgeois",0.145847410951608
"Charles Elliot",0.414349877905776
"Charles H. Raymond",0.37415404008632
"G. W. Terrell",0.281347465548167
"George S. Mcintosh",7.66045610870209e-18
"Isaac Van 2iandt",7.66045610870209e-18
"J. Pinckney Henderson",0.123170105291284
"James K. Polk",7.66045610870209e-18
"James Reily",1.53209122174042e-17
"Van Zandt and Henderson",0.138271602758329
"Victor Pirson",7.66045610870209e-18
"Viscount J. de Cramayel",0.138271602758329
"W. S. Murphy",0.138271602758329
"William Kennedy",0.284119013709938
"Wm. Henry Daingerfield",0.49354350934504
"Zachary Taylor",3.06418244348084e-17
"Anson Joness reply",7.66045610870209e-18
"Howard *s address 294",7.66045610870209e-18
"Anto. Lopez de Santa Anna",0.0541269844520415
"Antonio Canales",0.0320711613701249
"Arthur Ikin",0.323062411431447
"Baron de Cetto",0.145847410951608
"Edward Everett",0.145847410951608
"General Sancho",7.66045610870209e-18
"Geo. S. Mcintosh",0.266066185650593
"H. U. Addington",0.0497744037468645
"Henry Castro",0.284119013709937
"Joseph Hume",0.145847410951608
"Lachlin M. Rate",0.145847410951608
"M. Guizot",0.32909204980091
"M. P. Russell",0.145847410951608
"Martinez de La Rosa",7.66045610870209e-18
"Samuel Amory",1.53209122174042e-17
"Stewart Newell",7.66045610870209e-18
"Texan Consuls",7.66045610870209e-18
"Theodore Barbey",0.145847410951608
"Washington Irving",7.66045610870209e-18
"Wm. Pringle",0.145847410951608
"Balie Peyton",7.66045610870209e-18
"M. S. CucuUu",7.66045610870209e-18
"BaniaxdE. Bee",0.0186524081855909
"James Webb",0.131233948212539
"Secretary of State Lipscomb",1.53209122174042e-17
"Brenham and Cooke",0.014402177872423
"Secretary of State Roberts",5.36231927609147e-17
